<project> Risk List;;;;;;;;;
Risk ID;Date Identified;Headline;Description;Type;Impact;Probability;Magnitude;Owner;Mitigation Strategy
1;01.12.2020;Datenschutz- Login Professoren;Die Daten der Dozenten müssen (Benutzername, Passwort) geschützt werden. Die gebuchten Experimente sowie zusätzliche Angaben sind nur für den Admin + dem jeweiligen Donzenten einsehbar.;Ressource;5;20%;1,0;TW;"Login Daten entsprechend schützen.

->Architecture Notebook"
2;01.12.2020;Datenschutz- Lizenzen, Urheberrecht;Es besteht die Gefahr das Grafiken missbräuchlich genutzt werden. Dies kann zu einer Urheberrechtsverletzung führen.;Ressource;5;60%;3,0;TW;Lizenzvereinbarungen der neugenutzen Grafiken klären oder eigene Grafiken erstellen
3;21.12.2020;Missverständinisse mit Auftraggeber;In den Gesprächen mit dem Auftraggeber kommt/ kann es zu Missverständnissen in der Kommunikation und im Verständnis kommen. Diese werden vor allem durch einen unterschiedlichen Sprachgebrauch als auch durch unterschiedliche Vorstellungen der technichen Umsetzung und der technischen Sinnhaftigkeit  getragen.;Business;5;80%;4,0;TW, TK,GM, AB;Häufige Meetings und reger Ausstausch mit dem Auftraggeber.Einfacher Sprachgebrauch und Vermeidung von Fachbegriffen. Optische Darstellungen nutzen um ein besseres Verständnis zu erreichen.
4;05.01.2021;Zeit für Bearbeitung reicht nicht aus;Es besteht das Risiko, dass der Umfang des Arbeitsaufwandes unterschätzt wird und dadurch die rechtzeitige Fertigstellung in Gefahr ist.;Schedule;3;20%;0,6;GM;"Deadlines für Meilensteine setzen. Im Team den Aufwand gemeinsam kritisch beurteilen.

->Architecture Notebook"
5;05.01.2021;technische Umsetzung ist nicht möglich;Es besteht das Risiko, dass die in den Anforderungen erarbeiteten Funktionen, aufgrund von mangelnden Kenntnissen, nicht technisch umsetzbar sind.;Technical;5;40%;2,0;RW;"Alle notwendigen Schritte durchgehen und die mögliche Umsetzung prüfen. Aufgaben nach Kompetemzen zuteilen. Im Zweifel eiegnständige Weiterbildung notwendig bzw. gegenseitige Unterstützung.

->Architecture Notebook"
6;07.01.2021;Datenverlust bei Rückübertragung der virtuellen Maschine;"Die Arbeit des Entwickler-Teams erfolgt auf der virtuellen Maschine. Jegliche Erweiterungen an der Experimenteverwaltung erfolgt also nicht auf dem ""Hauptsystem"". Wenn das kompletierte System wieder auf das ""Hauptsystem"" übernommen wird, besteht die Gefahr, dass Ergänzungen in der Datenbank, die während der Entwicklung dazugekommen sind, verloren gehen. Datenverlust soll vermieden werden.";Ressource;1;60%;0,6;RW;"?

->Architecture Notebook"
7;;;;;;;0,0;;
8;;;;;;;0,0;;
9;;;;;;;0,0;;
10;;;;;;;0,0;;
11;;;;;;;0,0;;
12;;;;;;;0,0;;
13;;;;;;;0,0;;
14;;;;;;;0,0;;
15;;;;;;;0,0;;
16;;;;;;;0,0;;
17;;;;;;;0,0;;
18;;;;;;;0,0;;
