Risk ID;Date Identified;Headline;Description;Type;IMP;PRB;MAG;Owner;Mitigation Strategy
1;01.12.2020;Datenschutz- Login Professoren;Die Daten der jeweiligen Dozenten (Benutzername, Passwort) müssen vor unerlaubtem Zugriff durch andere Anwender oder nicht für den Systemzugriff autorisierte Personen geschützt werden. Die gebuchten Experimente sowie zusätzliche Angaben sind nur für den Admin + den jeweiligen Dozenten einsehbar.;Technical;5;5%;0,3;"TW, RB";"Login Daten entsprechend schützen;
Passwort-Verordnung (Zahl, Buchstabe, Groß- und Kleinschreibung); Passwortschutz durch System (Hashen)
->Architecture Notebook"
2;01.12.2020;Datenschutz- Lizenzen, Urheberrecht;Es besteht die Gefahr, dass Grafiken die bei der Erstellung der Oberfläche benötigt werden, missbräuchlich genutzt werden. Dies kann zu einer Urheberrechtsverletzung führen.;Business;5;5%;0,3;"TW, AB";Lizenzvereinbarungen der neugenutzen Grafiken klären oder eigene Grafiken erstellen
3;21.12.2020;Missverständnisse mit Themensteller;In den Gesprächen mit dem Themensteller kommt/kann es zu Missverständnissen in der Kommunikation und im Verständnis kommen. Diese werden vor allem durch einen unterschiedlichen Sprachgebrauch als auch durch unterschiedliche Vorstellungen der technischen Umsetzung und der technischen Sinnhaftigkeit getragen.;"Business; Schedule; direct";5;80%;4;TW, TKa, GM, AB;Häufige Meetings und reger Austausch mit dem Themensteller. Einfacher Sprachgebrauch und Vermeidung von Fachbegriffen. Optische Darstellungen nutzen um ein besseres Verständnis zu erreichen. Miteinbeziehen von Dozenten (Anwendern).
4;05.01.2021;Zeit für Bearbeitung reicht nicht aus;Es besteht das Risiko, dass der Umfang des Arbeitsaufwandes unterschätzt wird und dadurch die rechtzeitige Fertigstellung in Gefahr ist.;Schedule;3;20%;0,6;GM;"Deadlines für Meilensteine setzen. Im Team den Aufwand gemeinsam kritisch beurteilen.

->Architecture Notebook"
5;05.01.2021;technische Umsetzung ist nicht möglich;Es besteht das Risiko, dass die in den Anforderungen erarbeiteten Funktionen, aufgrund von fehlender Expertise, nicht technisch umsetzbar sind.;Technical;5;40%;2,5;RB, GM;"Alle notwendigen Schritte durchgehen und die mögliche Umsetzung prüfen. Aufgaben nach Kompetenzen zuteilen. Im Zweifel eigenständige Weiterbildung notwendig bzw. gegenseitige Unterstützung.

->Architecture Notebook"
6;07.01.2021;Datenverlust bei Rückübertragung der virtuellen Maschine;Die Sorge des Themenerstellers ist, dass die Daten die von Ihm im aktuell laufenden System eingegeben wurden, in der neuen Version wegfallen könnten, da die Auftragnehmer das System auf Basis eines veralteten Datenbestandes entwickeln.;Technical;1;20%;0,2;RB;"Es ist geplant, die Datenbank neu zu inkludieren. Somit würde man nur mit aktuellen Datenbeständen arbeiten.

->Architecture Notebook"
7;27.01.2021;Übersehen von Anforderungen;Durch ein nicht rechtzeitiges Einbeziehen aller Stakeholder, kann es zum Übersehen von Anforderungen kommen. Dies kann zur Folge haben, dass ein erhöhter Mehraufwand rückwirkend notwendig ist und die geplante Abgabe verschoben werden muss.;Business;5;5%;0,25;"GM, TW, Tka";Ansprechen aller Stakeholder die identifiziert wurden. Bei Dozenten exemplarische Stellvertreter auswählen (Prof. Dr. Krawietz)

->Architecture Notebook"
8;25.04.2021;Schlechte Entscheidung;Durch mangelnde Expertise oder nicht Beachtung von Details konnen Entscheidungen getroffen werden die dem Projekt schaden;Business;4;50%;2;"GM; TW; Tka";Alle Entscheidungen werden durch Gruppendiskussionen getroffen
9;28.04.2021;Datschutz-Login-Problem;Durch den Kundenwunsch die Passwörter und Benutzernamen der Anwender selbst in das Programm einzupflegen, ensteht hier ein Datenschutzproblem.;Business;2;70%;1,4;GM;Datenschutzbeauftragten dazubefragen
10;01.05.2021;Alte TCs könnten Fehler aufweisen;Die von unsren Vorgängern erstellten TCs funktionieren nicht alle. Da wir das Programm weiterentwicklen wollen muss aber sichergestellt sein, dass die Basis des Programms funktioniert.;Technical;4;40%;1,6;GM;Alte TCs werden evaluiert und ggf. repariert
11;19.05.2021;Arbeitsaufwand ist gerechtfertigt ;Wenn ein Teammitglied bei der Bearbeitung des Projekts feststellt, dass der Aufwand viel höher ist als angenommen, oder ihn andere technische Probleme behindern, die davor unbekannt waren. ;direct;5;20%;1;GM;Das Teammitglied muss den Umstand so früh und so bald wie möglich melden, das eine Notfalllösung gefunden werden kann. 

